ID,DESC,LAT,LNG
BRBR,Bear River below Rollins,39.132023,-120.958397,,USGS:11422500,,,960.7724;R39b4746a4b05e941,Bear River O5 L3 Drainage:257km2 AvgFlow:244cfs AvgPrecip:1247mm AvgTemp:14C
CCBB,Canyon Creek below Bowman,39.441895,-120.660957,,,USGS:11416500,,647.0473;Re92631685b3b3c41,Canyon Creek O3 L5 Drainage:74km2 AvgFlow:92cfs AvgPrecip:1733mm AvgTemp:8C
