id,desc,lat,lng,modes,extra,equiv
SCE:11230215,S.F. SAN JOAQUIN RIVER BLW HOOPER CRK,37.3096642*,-118.9620614*,,,USGS:11230215,,980.3671;R3789bdca29d9e641, O1 L3 Drainage:2km2 AvgFlow:1cfs AvgPrecip:684mm AvgTemp:7C
SCE:11231500,MONO CREEK BELOW LAKE T. A. EDISON CA.,37.36111111111111,-118.9905555555556,,,USGS:11231500,,970.5166;R6abcd0b6e086ec41,Mono Creek O4 L3 Drainage:259km2 AvgFlow:178cfs AvgPrecip:876mm AvgTemp:7C
SCE:11234760,SAN JOAQUIN RIVER ABOVE SHAKEFLAT CREEK,37.3166111*,-119.3295725*,,,USGS:11234760,,428.6614;Rb4c81eafd074ee41,San Joaquin River O5 L1 Drainage:2610km2 AvgFlow:383cfs AvgPrecip:986mm AvgTemp:14C
SCE:11238600,SAN JOAQUIN RIVER ABV STEVENSON CREEK-SP,37.2077239*,-119.329849*,,,USGS:11238600,,259.2789;R713d1e449638e341,San Joaquin River O5 L1 Drainage:2751km2 AvgFlow:438cfs AvgPrecip:848mm AvgTemp:15C
SCE:11241500,STEVENSON CREEK BELOW SHAVER LAKE,37.14466898*,-119.3084588*,,,USGS:11241500,,509.7911;R9643031b71a8df41,Stevenson Creek O3 L2 Drainage:76km2 AvgFlow:50cfs AvgPrecip:937mm AvgTemp:10C
SCE:11242000,SAN JOAQUIN RIVER ABOVE WILLOW CREEK-SPI,37.14439236*,-119.454577*,,,USGS:11242000,,850.8263;Ra47005fd07ffe341,San Joaquin River O5 L1 Drainage:3352km2 AvgFlow:655cfs AvgPrecip:749mm AvgTemp:15C
SCE:11246500,WILLOW CREEK AT MOUTH,37.1507812*,-119.4604107*,,,USGS:11246500,,16.2551;Ra01a1f301629e041,Willow Creek O4 L2 Drainage:336km2 AvgFlow:76cfs AvgPrecip:652mm AvgTemp:16C
