DATE,FLOW,STAGE,TEMP,VDATE
2012-01-01,25.4,,,43134.927
2012-01-02,22.9,,,43133.927
2012-01-03,25.9,,,43132.927
2012-01-04,99.6,,,43131.927
2012-01-05,126,,,43130.927
2012-01-06,64.8,,,43129.927
2012-01-07,46.9,,,43128.927
2012-01-08,39.7,,,43127.927
2012-01-09,61.3,,,43126.927
2012-01-10,58.8,,,43125.927
2012-01-11,40.3,,,43124.927
2012-01-12,33.1,,,43123.927
2012-01-13,30.4,,,43122.927
2012-01-14,28.2,,,43121.927
2012-01-15,26.5,,,43120.927
2012-01-16,25.2,,,43119.927
2012-01-17,24.2,,,43118.927
2012-01-18,23.5,,,43117.927
2012-01-19,22.9,,,43116.927
2012-01-20,22.6,,,43115.927
2012-01-21,22.3,,,43114.927
2012-01-22,22.1,,,43113.927
2012-01-23,22.5,,,43112.927
2012-01-24,23.5,,,43111.927
2012-01-25,22.3,,,43110.927
2012-01-26,19.1,,,43109.927
2012-01-27,16.8,,,43108.927
2012-01-28,16,,,43107.927
2012-01-29,17.5,,,43106.927
2012-01-30,20.9,,,43105.927
2012-01-31,21.9,,,43104.927
2012-02-01,22,,,43103.927
2012-02-02,19.8,,,43102.927
2012-02-03,18.1,,,43101.927
2012-02-04,18,,,43100.927
2012-02-05,17.8,,,43099.927
2012-02-06,16.9,,,43098.927
2012-02-07,16.4,,,43097.927
2012-02-08,16.1,,,43096.927
2012-02-09,16.3,,,43095.927
2012-02-10,23.7,,,43094.927
2012-02-11,29.4,,,43093.927
2012-02-12,28.8,,,43092.927
2012-02-13,27,,,43091.927
2012-02-14,24,,,43090.927
2012-02-15,21.1,,,43089.927
2012-02-16,19.7,,,43088.927
2012-02-17,18.4,,,43087.927
2012-02-18,18.4,,,43086.927
2012-02-19,17.6,,,43085.927
2012-02-20,16.7,,,43084.927
2012-02-21,16.4,,,43083.927
2012-02-22,17.4,,,43082.927
2012-02-23,17.2,,,43081.927
2012-02-24,16.8,,,43080.927
2012-02-25,16.4,,,43079.927
2012-02-26,15.4,,,43078.927
2012-02-27,14.4,,,43077.927
2012-02-28,12.9,,,43076.927
2012-03-01,12.6,,,43074.927
2012-03-02,12.8,,,43073.927
2012-03-03,13,,,43072.927
2012-03-04,18.7,,,43071.927
2012-03-05,33.1,,,43070.927
2012-03-06,23.7,,,43069.927
2012-03-07,19.2,,,43068.927
2012-03-08,17.6,,,43067.927
2012-03-09,22.3,,,43066.927
2012-03-10,25.8,,,43065.927
2012-03-11,24.4,,,43064.927
2012-03-12,22.2,,,43063.927
2012-03-13,20.1,,,43062.927
2012-03-14,17.6,,,43061.927
2012-03-15,17.3,,,43060.927
2012-03-16,19.8,,,43059.927
2012-03-17,18.7,,,43058.927
2012-03-18,17.3,,,43057.927
2012-03-19,16.5,,,43056.927
2012-03-20,16.7,,,43055.927
2012-03-21,16,,,43054.927
2012-03-22,15.1,,,43053.927
2012-03-23,14.5,,,43052.927
2012-03-24,14.3,,,43051.927
2012-03-25,14.8,,,43050.927
2012-03-26,15.8,,,43049.927
2012-03-27,16.6,,,43048.927
2012-03-28,25,,,43047.927
2012-03-29,33.1,,,43046.927
2012-03-30,29.8,,,43045.927
2012-03-31,24.9,,,43044.927
2012-04-01,22.6,,,43043.927
2012-04-02,21.8,,,43042.927
2012-04-03,35.5,,,43041.927
2012-04-04,35.5,,,43040.927
2012-04-05,28.8,,,43039.927
2012-04-06,25.6,,,43038.927
2012-04-07,24.1,,,43037.927
2012-04-08,23.9,,,43036.927
2012-04-09,25.1,,,43035.927
2012-04-10,34.7,,,43034.927
2012-04-11,46.9,,,43033.927
2012-04-12,58,,,43032.927
2012-04-13,63.7,,,43031.927
2012-04-14,65.2,,,43030.927
2012-04-15,65.7,,,43029.927
2012-04-16,65.3,,,43028.927
2012-04-17,62.6,,,43027.927
2012-04-18,53.4,,,43026.927
2012-04-19,48.8,,,43025.927
2012-04-20,52.3,,,43024.927
2012-04-21,50.7,,,43023.927
2012-04-22,59,,,43022.927
2012-04-23,161,,,43021.927
2012-04-24,199,,,43020.927
2012-04-25,220,,,43019.927
2012-04-26,242,,,43018.927
2012-04-27,155,,,43017.927
2012-04-28,111,,,43016.927
2012-04-29,95.1,,,43015.927
2012-04-30,112,,,43014.927
2012-05-01,110,,,43013.927
2012-05-02,91.2,,,43012.927
2012-05-03,77.2,,,43011.927
2012-05-04,74.9,,,43010.927
2012-05-05,76,,,43009.927
2012-05-06,74.6,,,43008.927
2012-05-07,84.4,,,43007.927
2012-05-08,113,,,43006.927
2012-05-09,112,,,43005.927
2012-05-10,85.8,,,43004.927
2012-05-11,73.1,,,43003.927
2012-05-12,78.1,,,43002.927
2012-05-13,108,,,43001.927
2012-05-14,151,,,43000.927
2012-05-15,198,,,42999.927
2012-05-16,220,,,42998.927
2012-05-17,195,,,42997.927
2012-05-18,154,,,42996.927
2012-05-19,130,,,42995.927
2012-05-20,130,,,42994.927
2012-05-21,151,,,42993.927
2012-05-22,204,,,42992.927
2012-05-23,151,,,42991.927
2012-05-24,125,,,42990.927
2012-05-25,137,,,42989.927
2012-05-26,183,,,42988.927
2012-05-27,200,,,42987.927
2012-05-28,187,,,42986.927
2012-05-29,167,,,42985.927
2012-05-30,146,,,42984.927
2012-05-31,152,,,42983.927
2012-06-01,247,,,42982.927
2012-06-02,267,,,42981.927
2012-06-03,186,,,42980.927
2012-06-04,144,,,42979.927
2012-06-05,133,,,42978.927
2012-06-06,150,,,42977.927
2012-06-07,146,,,42976.927
2012-06-08,140,,,42975.927
2012-06-09,134,,,42974.927
2012-06-10,171,,,42973.927
2012-06-11,193,,,42972.927
2012-06-12,227,,,42971.927
2012-06-13,257,,,42970.927
